SparkleIndex,SparkleTerm
1651,Resurfacing Of Hip
1652,Resynchronization Therapy
1653,Retained Tampon
1656,Responsive Neurostimulation
1660,Replacement Of Heart Valve
1663,Resection Of Cerebral Arteriovenous Malformation Avm
1664,Resensation Technique
1667,Repair Of Vaginoenteric Fistula
1668,Repair Of Vertebral Artery
1669,Repair Tracheoesophageal Fistula
1671,Replacement Of Contact Lens
1672,Replacement Of Defibrillator
1673,Repair Of Paracolostomy Hernia
1674,Repair Of Pelvic Prolapse
1675,Repair Of Popliteal Artery
1676,Repair Of Rectal Prolapse
1677,Repair Of Rectocele
1678,Repair Of Rectourethral Fistula
1679,Repair Of Rectovaginal Fistula
1680,Repair Of Laceration Of Conjunctiva
1681,Repair Of Laceration Of Gallbladder
1682,Repair Of Liver Laceration
1683,Repair Of Neck Blood Vessel
1684,Repair Of Pancreas
1685,Repair Of Colovaginal Fistula
1687,Repair Of Diaphragm
1688,Repair Of Entropion Or Ectropion
1689,Repair Of Graft Enteric Fistula
1690,Repair Of Intraabdominal Blood Vessel
1691,Repair Anorectal Fistula Plug
1692,Repair Claw Toe
1693,Repair Laceration
1694,Repair Of Axial Brachial Aneurysm
1695,Repair Of Blood Vessel Of Leg
1696,Repair Of Brain
1697,Repair Of Carotid Subclavian Aneurysm
1699,Renal Vein Compression
1700,Renal Vessel Anomalies
1701,Renovascular Disease
1703,Reoperative Cardiac Surgery
1709,Renal Replacement Therapy Education
1710,Renal Scan Dmsa
1711,Renal Disease Of Premature Infants
1716,Renal Manifestations Of Sickle Cell Disease
1718,Renal Cyst Ablation
1719,Renal Cysts
1720,Renal Denervation
1722,Renal Disease And Pregnancy
1724,Renal Artery Dysplasia
1725,Renal Artery Reconstruction
1727,Renal Cancer Genomics
1728,Renal Cell Carcinoma Immunotherapy
1730,Renal Angioplasty And Stenting
1731,Renal Anomalies
1732,Renal Arteriovenous Malformation Avm
1733,Renal Artery Angiogram
1735,Renal Artery Bypass Surgery
1736,Removal Of Infected Abdominal Graft
1737,Removal Of Infected Neck Graft
1738,Removal Of Knee Prosthesis
1739,Removal Of Transplanted Or Rejected Kidney
1740,Remove Sinus Packing
1741,Renal Agenesis And Dysgenesis
1742,Release Scar Contracture
1743,Remote Cardiac Device Monitoring
1744,Removal Anal Seton Marker
1745,Removal Of Buccal Fat Pads
1746,Removal Of Hip Prosthesis
1747,Removal Of Implant Of Cornea
1748,Removal Of Implants
1749,Relapsed Acute Lymphoblastic Leukemia All
1750,Relapsed Hodgkin Lymphoma
1751,Relapsed Non Hodgkin Lymphoma
1753,Relative Energy Deficiency In Sport
1754,Release Of Chordee
1755,Regional Enteritis Of Large Intestine
1756,Reinke Edema
1757,Reirradiation For Recurrent Cancer
1758,Reirradiation For Recurrent Head And Neck Cancers
1762,Refractory Angina
1763,Refugee Medicine
1768,Refraction For Eyeglasses
1771,Refractive Lens Exchange
1772,Reduced Intensity Conditioning Regimens
1773,Reducible Hernia
1774,Reduction Of Overcorrection Of Ptosis
1775,Reduction Of Volvulus
1777,Refashioning Of Colostomy
1781,Red Cell Alloimmunization
1783,Red Reflex Exam
1784,Recurrent Femoral Hernia
1787,Recurrent Lung Infections
1788,Recurrent Pregnancy Loss
1789,Recurrent Thrombosis
1790,Rectus Flap Reconstruction
1791,Rectus Sheath Hernia
1795,Recurrent Dislocation Of A Total Hip Replacement
1796,Recurrent Erosion Of Cornea
1799,Rectal Toxicity
1802,Rectus Femoris Transfer
1803,Rectal Carcinoma In Situ
1809,Reconstructive Surgery On Cornea
1810,Reconstructive Urologic Surgery
1812,Rectal Akinesia
1815,Rectal Cancer Genomics
1816,Reconstruction Of Penis
1817,Reconstruction Orbit
1818,Reconstructive Knee Surgery
1819,Reconstructive Microsurgery
1821,Reconstructive Surgery For Head And Neck Cancer
1823,Reciprocal Ivf
1824,Recircumcision Evaluation
1825,Reconstruction Of Ear
1826,Reconstruction Of Hip
1827,Reconstruction Of Nose
1833,Reanastomosis Of Urethra
1834,Reattachment Of Amputated Penis
1835,Rapid Strep Test
1838,Rasopathy
1839,Rasping Of The Nasal Dorsum
1841,Radiofrequency Rhizotomy
1842,Radioiodine Therapy
1845,Rami Fracture
1847,Rapid Plasma Reagin Rpr Test
1849,Radiofrequency Ablation For Barretts Esophagus
1850,Radiofrequency Ablation Of Metastatic Spine Tumors
1851,Radiofrequency Ablation Of Renal Cancer
1852,Radiofrequency Ablation Of The Soft Palate
1853,Radiofrequency Denervation
1854,Radical Subtotal Pancreatectomy
1859,Radiation Treatment For Head And Neck Cancer
1860,Radiation Treatment For Prostate Cancer
1862,Radical Inguinal Orchiectomy
1870,Radiation Therapy Simulation
1872,Radiation Treatment For Breast Cancer
1873,Radial Nerve Neuropathy
